Rank,Metro,Mean Software Developer Salary (adjusted),Mean Software Developer Salary (unadjusted),Mean Unadjusted Salary (all occupations),Number of Software Developer Jobs,Median Home Price
1,"Huntsville, AL",120392.00,108232.00,54630.00,5920.00,169500.00
2,"Columbus, OH",117552.00,108500.00,51260.00,13430.00,192000.00
3,"Seattle-Tacoma-Bellevue, WA",117323.00,131167.00,65400.00,65760.00,491600.00
4,"Palm Bay-Melbourne-Titusville, FL",114995.00,110280.00,48940.00,4400.00,213500.00
5,"Charlotte-Concord-Gastonia, NC-SC",114122.00,107046.00,51000.00,12800.00,208500.00
6,"Colorado Springs, CO",112118.00,111670.00,51430.00,5780.00,296500.00
7,"Dayton, OH",111616.00,99338.00,50100.00,4240.00,124100.00
8,"St. Louis, MO-IL",111234.00,101668.00,50250.00,11840.00,166500.00
9,"Greensboro-High Point, NC",111050.00,99612.00,44570.00,1560.00,136000.00
10,"San Francisco-Oakland-Hayward, CA",111017.00,142101.00,72400.00,59550.00,946700.00
11,"San Antonio-New Braunfels, TX",110898.00,104688.00,46650.00,5410.00,194100.00
12,"Dallas-Fort Worth-Arlington, TX",110891.00,111113.00,52590.00,46130.00,243900.00
13,"Durham-Chapel Hill, NC",110313.00,105018.00,59940.00,6800.00,243700.00
14,"Atlanta-Sandy Springs-Roswell, GA",109849.00,106334.00,52750.00,38110.00,219600.00
15,"Cincinnati, OH-KY-IN",109013.00,98112.00,50030.00,8620.00,169900.00
16,"Austin-Round Rock, TX",108990.00,109535.00,53810.00,21160.00,311300.00
17,"Raleigh, NC",107676.00,103584.00,52580.00,12560.00,267200.00
18,"Houston-The Woodlands-Sugar Land, TX",107672.00,109503.00,54290.00,20400.00,205600.00
19,"Charlottesville, VA",107436.00,105502.00,54350.00,1550.00,271100.00
20,"Baltimore-Columbia-Towson, MD",107282.00,115006.00,57740.00,16200.00,267800.00
21,"Las Vegas-Henderson-Paradise, NV",107175.00,104495.00,45600.00,3900.00,279900.00
22,"Tucson, AZ",107170.00,101919.00,47610.00,4480.00,206200.00
23,"Salt Lake City, UT",106291.00,105334.00,50920.00,9600.00,366000.00
24,"Richmond, VA",105258.00,101153.00,51330.00,6390.00,229600.00
25,"Lexington-Fayette, KY",105248.00,95986.00,44900.00,1140.00,178400.00
26,"Denver-Aurora-Lakewood, CO",105197.00,111824.00,59440.00,26750.00,407900.00
27,"San Jose-Sunnyvale-Santa Clara, CA",104964.00,137397.00,80480.00,78730.00,1193600.00
28,"North Port-Sarasota-Bradenton, FL",104927.00,104822.00,44230.00,1270.00,258100.00
29,"Boulder, CO",104630.00,113732.00,64690.00,6620.00,534700.00
30,"Portland-Vancouver-Hillsboro, OR-WA",104335.00,106108.00,56160.00,15420.00,397400.00
31,"Ogden-Clearfield, UT",103931.00,98215.00,46090.00,1740.00,318700.00
32,"Wichita, KS",103690.00,92595.00,44500.00,1220.00,132900.00
33,"Binghamton, NY",103570.00,99738.00,47610.00,1340.00,115700.00
34,"Worcester, MA-CT",103254.00,106972.00,54240.00,1760.00,277300.00
35,"Phoenix-Mesa-Scottsdale, AZ",103177.00,100804.00,50520.00,20440.00,266600.00
36,"Virginia Beach-Norfolk-Newport News, VA-NC",102860.00,100392.00,48450.00,4750.00,229500.00
37,"Santa Maria-Santa Barbara, CA",102781.00,112648.00,54890.00,2060.00,602600.00
38,"Peoria, IL",102399.00,91544.00,51510.00,1150.00,111300.00
39,"Provo-Orem, UT",102357.00,99184.00,47610.00,4340.00,356400.00
40,"Los Angeles-Long Beach-Anaheim, CA",102188.00,119662.00,57890.00,53190.00,649500.00
41,"Boston-Cambridge, MA",102171.00,114227.00,67370.00,54140.00,465000.00
42,"Orlando-Kissimmee-Sanford, FL",102093.00,100358.00,44930.00,11050.00,238900.00
43,"Tampa-St. Petersburg-Clearwater, FL",101733.00,100614.00,47750.00,12160.00,213800.00
44,"Oxnard-Thousand Oaks-Ventura, CA",101688.00,119077.00,54400.00,1530.00,604100.00
45,"Birmingham-Hoover, AL",101598.00,90219.00,47480.00,2310.00,146000.00
46,"Syracuse, NY",101256.00,98320.00,51400.00,2140.00,135000.00
47,"Washington-Arlington-Alexandria, DC-VA-MD-WV",101188.00,119806.00,70980.00,63760.00,407700.00
48,"Fayetteville-Springdale-Rogers, AR-MO",100913.00,90216.00,46470.00,2690.00,183200.00
49,"Sacramento--Roseville--Arden-Arcade, CA",100785.00,102801.00,56430.00,9980.00,411500.00
50,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",99955.00,105352.00,56170.00,26370.00,232800.00
51,"Des Moines-West Des Moines, IA",99878.00,93386.00,52220.00,4060.00,188800.00
52,"Omaha-Council Bluffs, NE-IA",99826.00,92339.00,48690.00,5220.00,177200.00
53,"Providence-Warwick, RI-MA",99620.00,99321.00,53730.00,2830.00,293800.00
54,"Hartford-West Hartford-East Hartford, CT",99282.00,101069.00,60820.00,6940.00,229700.00
55,"Minneapolis-St. Paul-Bloomington, MN-WI",99228.00,101411.00,57420.00,22750.00,270700.00
56,"Knoxville, TN",98727.00,87669.00,45130.00,1870.00,171800.00
57,"Chicago-Naperville-Elgin, IL-IN-WI",98726.00,102082.00,55670.00,42090.00,225900.00
58,"Nashville-Davidson--Murfreesboro--Franklin, TN",98623.00,93987.00,48370.00,5290.00,255300.00
59,"Oklahoma City, OK",98617.00,90135.00,47120.00,3640.00,146700.00
60,"Detroit-Warren-Dearborn, MI",98156.00,94033.00,53690.00,28450.00,162200.00
61,"San Diego-Carlsbad, CA",97974.00,113650.00,58090.00,19130.00,590700.00
62,"Riverside-San Bernardino-Ontario, CA",97434.00,104449.00,49100.00,2840.00,370100.00
63,"Pittsburgh, PA",97043.00,91220.00,50070.00,11060.00,143200.00
64,"Burlington-South Burlington, VT",96904.00,101750.00,53680.00,1210.00,272900.00
65,"New York-Newark-Jersey City, NY-NJ-PA",96686.00,118247.00,64550.00,98650.00,442500.00
66,"Milwaukee-Waukesha-West Allis, WI",96580.00,92234.00,51040.00,6710.00,232300.00
67,"Indianapolis-Carmel-Anderson, IN",96448.00,88732.00,49380.00,8470.00,166800.00
68,"Fort Collins, CO",95969.00,98176.00,51050.00,1190.00,383600.00
69,"Allentown-Bethlehem-Easton, PA-NJ",95711.00,96285.00,47580.00,1390.00,202700.00
